datetime,open,high,low,close,volume
2025-06-13 15:30:00,196.24001,196.69000,195.77000,196.45000,5657582
2025-06-13 14:30:00,196.25999,196.64000,195.81000,196.22000,5166232
2025-06-13 13:30:00,197.25,197.71001,196.22000,196.27800,4012087
2025-06-13 12:30:00,197.28999,197.57001,196.92000,197.27000,3612021
2025-06-13 11:30:00,197.52000,198.047501,197.21001,197.27000,4078021
2025-06-13 10:30:00,196.14000,197.64000,195.98000,197.50999,5870070
2025-06-13 09:30:00,199.50999,200.37000,195.91000,196.15500,14838340
2025-06-12 15:30:00,198.88000,199.20000,198.39999,199.20000,3810972
2025-06-12 14:30:00,198.75999,199.060394,198.54500,198.88499,3065411
2025-06-12 13:30:00,199.25999,199.67990,198.66960,198.75,3327953
2025-06-12 12:30:00,198.58000,199.44000,198.21001,199.25999,4180715
2025-06-12 11:30:00,198.089996,198.64000,197.75500,198.59000,3800303
2025-06-12 10:30:00,198.080002,198.92,197.86270,198.16499,5352447
2025-06-12 09:30:00,198.89880,199.39000,197.36011,198.066696,10599878
2025-06-11 15:30:00,198.95000,199.125,198.41000,198.85001,6079183
2025-06-11 14:30:00,199.22000,199.60001,198.62000,198.98000,6509323
2025-06-11 13:30:00,200.90500,200.98500,198.71001,199.23920,6328523
2025-06-11 12:30:00,200.19070,201.23650,200.18500,200.91000,5829435
2025-06-11 11:30:00,200.98,201.14999,199.65961,200.20711,10068427
2025-06-11 10:30:00,202.70351,202.80000,200.97000,201.0099945,7423527
2025-06-11 09:30:00,203.47000,204.5,202.33000,202.76010,10387805
2025-06-10 15:30:00,202.82111,202.97501,202.33000,202.75,4081286
2025-06-10 14:30:00,201.69000,203.22501,201.60001,202.82001,4955808
2025-06-10 13:30:00,201.77499,202.10001,201.31000,201.70000,5126577
2025-06-10 12:30:00,202.53000,202.76300,201.75,201.75999,4174154
2025-06-10 11:30:00,203.32001,203.32001,202.30009,202.53880,4294134
2025-06-10 10:30:00,202.86000,204.35001,202.73000,203.31500,6675574
2025-06-10 09:30:00,200.60001,203.35690,200.57001,202.87000,13200692
2025-06-09 15:30:00,201.21001,202.35500,200.89000,201.44000,7398849
2025-06-09 14:30:00,201.42999,201.70000,200.63000,201.25,8620350
